Name,Lat,Long
Arvada,39.80162,-105.08913
Belmar,39.70158,-105.1016
Bergen Meadow,39.68104,-105.36144
Bergen Valley,39.6922,-105.34956
Betty Adams,39.86972,-105.06568
Blue Heron,39.61336,-105.06246
Bradford,39.57313,-105.1614
Campbell,39.81801,-105.12433
Colorow,39.60564,-105.0995
Columbine Hills,39.57598,-105.06196
Coronado,39.57524,-105.08663
Deane,39.71098,-105.06187
Devinny,39.68835,-105.14435
Dunstan,39.6851,-105.13387
Dutch Creek,39.58727,-105.07768
Elk Creek,39.47275,-105.3729
Emory,39.69556,-105.07799
Fairmont,39.79078,-105.19129
Foothills,39.7043,-105.15357
Fremont,39.81335,-105.13271
Glennon,39.70825,-105.12148
Governors,39.62308,-105.11588
Green Gables,39.67963,-105.09462
Hackberry,39.83635,-105.07162
Hutchinson,39.68398,-105.14567
Kendallvue,39.63101,-105.15063
Kendrick Lakes,39.69217,-105.10443
Kullerstrand,39.77164,-105.13539
Kyffin,39.71799,-105.15987
Lasley,39.69162,-105.06631
Lawrence,39.79875,-105.08485
Leawood,39.60714,-105.0653
Little,39.85347,-105.06876
Lukas,39.87547,-105.11082
Lumberg,39.75342,-105.07199
Maple Grove,39.76251,-105.15798
Marshdale,39.58875,-105.30315
Meiklejohn,39.84789,-105.14976
Mitchell,39.76474,-105.22807
Molholm,39.73414,-105.06417
Mortenson,39.57524,-105.10643
Mount Carbon,39.6142,-105.14155
Normandy,39.5933,-105.06405
Parmalee,39.63837,-105.26982
Patterson,39.69753,-105.09061
Peak,39.78293,-105.10387
Powderhorn,39.60587,-105.13464
Prospect Valley,39.76515,-105.12243
Ralston,39.71711,-105.29206
Red Rocks,39.65703,-105.1968
Rooney,39.68014,-105.1542
Ryan,39.90704,-105.06261
Secrest,39.81345,-105.07342
Semper,39.87205,-105.0801
Shaffer,39.57605,-105.11253
Shelton,39.72666,-105.2133
Sheridan Green,39.89772,-105.07103
Sierra,39.83837,-105.12012
Slater,39.7521,-105.093
South Lakewood,39.71892,-105.0921
Stevens,39.77103,-105.07671
Stober,39.75547,-105.1321
Stony Creek,39.58952,-105.098
Stott,39.81601,-105.14211
Swanson,39.8211,-105.06369
Three Creeks,39.86595,-105.22189
Ute Meadows,39.58725,-105.12138
Van Arsdale,39.83674,-105.14909
Vanderhoof,39.80725,-105.12988
Warder,39.83738,-105.09217
Weber,39.84631,-105.09332
Welchester,39.73443,-105.14476
West Jefferson,39.53931,-105.30345
West Woods,39.82633,-105.18666
Westgate,39.66915,-105.09239
Westridge,39.61711,-105.11945
Wilmot,39.62108,-105.33761
